gamma_signal,equation,latex_equation
yhat_ess1_up,x20,x_{20}
yhat_ess1_down,x19 * cos(((x21 - (sin(x1) * sin(x1))) * -0.00081227196) / sin(0.43504593 * x0)),x_{19} \cos{\left(\left(x_{21} - \sin{\left(x_{1} \right)} \sin{\left(x_{1} \right)}\right) \left(-0.0008123\right) \frac{1}{\sin{\left(0.4350 x_{0} \right)}} \right)}
yhat_ess2_up,(((x19 - 0.9745499) * cos(x13 * x9)) * (x12 * sin(-0.20329778 * x9))) + x20,x_{12} \left(x_{19} - 0.9745\right) \sin{\left(- 0.2033 x_{9} \right)} \cos{\left(x_{13} x_{9} \right)} + x_{20}
yhat_ess2_down,x19 * cos(x19 + (exp(cos(log(cos((log(x13) + x12) * x19) * 0.47853702) + -1.6723061)) + -1.5096939)),x_{19} \cos{\left(x_{19} + e^{\cos{\left(\log{\left(0.4785 \cos{\left(x_{19} \left(x_{12} + \log{\left(x_{13} \right)}\right) \right)} \right)} - 1.672 \right)}} - 1.510 \right)}
yhat_ess3_up,sin((4.2981977 / sin(-14.550615 * x4)) * sin(x20 + -5.471902)),\sin{\left(\frac{4.298 \sin{\left(x_{20} - 5.472 \right)}}{\sin{\left(- 14.55 x_{4} \right)}} \right)}
yhat_ess3_down,cos((sin(x8 * x13) * sin(2.6682842 - (x18 * x4))) * ((x20 - cos(x17 * (x13 * 1.8024681))) - -0.29180428)) * x20,x_{20} \cos{\left(\left(x_{20} - \cos{\left(x_{17} x_{13} \cdot 1.802 \right)} - -0.2918\right) \sin{\left(x_{13} x_{8} \right)} \sin{\left(2.668 - x_{18} x_{4} \right)} \right)}
yhat_ess4_up,x19 + (exp(sin(x10 + 0.733823) * exp(cos(x2 + x19))) / x0),x_{19} + \frac{e^{e^{\cos{\left(x_{19} + x_{2} \right)}} \sin{\left(x_{10} + 0.7338 \right)}}}{x_{0}}
yhat_ess4_down,x11 * sin(x20 / ((cos(x2 / 0.7342755) / x0) - sin(sin(x8 / ((x16 - x8) + -0.37565067))))),x_{11} \sin{\left(\frac{x_{20}}{- \sin{\left(\sin{\left(\frac{x_{8}}{x_{16} - x_{8} - 0.3757} \right)} \right)} + \frac{\cos{\left(\frac{x_{2}}{0.7343} \right)}}{x_{0}}} \right)}
yhat_ess5_up,exp(-5.3776984 - ((cos(x9 * 0.6933178) + (x19 - sin(cos(x9 * 0.27743956)))) * 2.1182005)) + x20,x_{20} + e^{- 2.118 \left(x_{19} - \sin{\left(\cos{\left(x_{9} \cdot 0.2774 \right)} \right)} + \cos{\left(x_{9} \cdot 0.6933 \right)}\right) - 5.378}
yhat_ess5_down,x19 * cos(x14 * (-0.40549272 / ((x16 / x4) - (x14 / sin(sin(0.79703146 / (sin(x16 / x4) - 0.8874391))))))),x_{19} \cos{\left(x_{14} \left(-0.4055\right) \frac{1}{- \frac{x_{14}}{\sin{\left(\sin{\left(\frac{0.7970}{\sin{\left(\frac{x_{16}}{x_{4}} \right)} - 0.8874} \right)} \right)}} + \frac{x_{16}}{x_{4}}} \right)}
yhat_sop1_fwd,sin(x20 + sin((x7 * log(x5 + x19)) * 0.09440813)),\sin{\left(x_{20} + \sin{\left(0.09441 x_{7} \log{\left(x_{19} + x_{5} \right)} \right)} \right)}
yhat_sop1_rev,cos(0.66600674 - cos(log(log(x7)) * (-15.497216 / x4))),\cos{\left(\cos{\left(\frac{15.50 \log{\left(\log{\left(x_{7} \right)} \right)}}{x_{4}} \right)} - 0.6660 \right)}
yhat_sop2_fwd,x20 * sin(cos(sin(((0.5383529 - x13) * x16) - x13) - (0.73255324 - x13)) / 0.5450916),x_{20} \sin{\left(\frac{\cos{\left(- (0.7326 - x_{13}) + \sin{\left(- x_{13} + x_{16} \left(0.5384 - x_{13}\right) \right)} \right)}}{0.5451} \right)}
yhat_sop2_rev,cos(sin((x17 / x6) - 1.6084003)),\cos{\left(\sin{\left(\frac{x_{17}}{x_{6}} - 1.608 \right)} \right)}
yhat_pv1,x19,x_{19}
yhat_pv2,x19,x_{19}
yhat_pv3,x20,x_{20}
yhat_pv4,x19,x_{19}
yhat_pv5,x20,x_{20}
yhat_pv6,x20 * cos(x13 - x21),x_{20} \cos{\left(x_{13} - x_{21} \right)}
yhat_wt1,x19,x_{19}
yhat_wt2,x20,x_{20}
yhat_wt3,x19,x_{19}
yhat_wt4,x20,x_{20}
yhat_wt5,x19,x_{19}
yhat_wt6,x20,x_{20}
